benchmark,n_nodes,l1_error,l2_error,linf_error,integral_metric,integral_relative_error,finest_observed_integral_order,profile_order_status
poiseuille,33,1.606459073510643e-15,1.88915631941543e-15,3.1086244689504383e-15,flow_rate,0.000976562500002276,1.999999999956454,not_applicable_roundoff_profile_error
couette,33,1.2615119386815581e-15,1.458337375188147e-15,2.3314683517128287e-15,kinetic_energy,0.00048828124999572564,2.0000000000378875,not_applicable_roundoff_profile_error
