n_nodes,dy,l1_error,l2_error,linf_error,observed_l1_error_order,observed_l2_error_order,observed_linf_error_order,numerical_flow_rate,analytic_flow_rate,flow_rate_absolute_error,numerical_kinetic_energy,analytic_kinetic_energy,kinetic_energy_relative_error,observed_energy_order
9,0.125,5.2427198385076835e-17,6.985000018454543e-17,1.1102230246251565e-16,,,,0.5,0.5,0.0,0.33593750000000006,0.3333333333333333,0.007812500000000222,
17,0.0625,1.3877787807814457e-17,2.541167018032005e-17,5.551115123125783e-17,,,,0.5,0.5,0.0,0.333984375,0.3333333333333333,0.0019531250000000555,2.0
33,0.03125,1.2615119386815581e-15,1.458337375188147e-15,2.3314683517128287e-15,,,,0.49999999999999867,0.5,1.3322676295501878e-15,0.33349609374999856,0.3333333333333333,0.00048828124999572564,2.0000000000126703
65,0.015625,1.90405917528562e-15,2.267022159873778e-15,3.608224830031759e-15,,,,0.4999999999999982,0.5,1.7763568394002505e-15,0.33337402343749856,0.3333333333333333,0.00012207031249572564,2.0000000000378875
