n_nodes,dy,l1_error,l2_error,linf_error,observed_l1_error_order,observed_l2_error_order,observed_linf_error_order,numerical_flow_rate,analytic_flow_rate,flow_rate_relative_error,observed_flow_order
9,0.125,2.4671622769447922e-17,5.233641528945917e-17,1.1102230246251565e-16,,,,0.65625,0.6666666666666666,0.015624999999999944,
17,0.0625,3.102093745276173e-17,5.591783176868576e-17,1.1102230246251565e-16,,,,0.6640625,0.6666666666666666,0.0039062499999999445,2.0000000000000155
33,0.03125,1.606459073510643e-15,1.88915631941543e-15,3.1086244689504383e-15,,,,0.6660156249999984,0.6666666666666666,0.000976562500002276,1.9999999999966172
65,0.015625,5.281352278584651e-15,6.138537595233976e-15,9.547918011776346e-15,,,,0.6665039062499947,0.6666666666666666,0.0002441406250079381,1.999999999956454
